frame,time_s,phase,board_x,board_y,board_z,gun_x,gun_y,gun_z,nozzle_x,nozzle_y,nozzle_z,robot_x,robot_y,robot_z,ground_target_x,ground_target_y,ground_column_index,ground_row,robot_yaw_deg,active_fastener_index,state,arm_pose,collision_active,contact_force_n,tool_pressure,nails_installed,board_grasped,tool_grasped,nailing_reference_time_s,nailing_reference_frame,robot_label
70,2.3333,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.9,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,align_to_drywall,board_approach,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
71,2.3667,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.9,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,align_to_drywall,board_approach,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
72,2.4,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.9,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,align_to_drywall,board_approach,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
73,2.4333,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.9,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,align_to_drywall,board_approach,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
74,2.4667,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.9,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,align_to_drywall,board_approach,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
75,2.5,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.9,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,align_to_drywall,board_approach,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
76,2.5333,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.9,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,align_to_drywall,board_approach,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
77,2.5667,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.9,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,align_to_drywall,board_approach,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
78,2.6,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.9,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,align_to_drywall,board_approach,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
79,2.6333,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.9,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,align_to_drywall,board_approach,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
